Strain_1,Strain_2,Replicate,N10,N20,r1,r2,a11,a12,a21,a22
F.sanfranciscensis,L.brevis,2,50.9068796418177,114270.452815853,1.40020367232553,0.1811024640444,-1.03325001679976e-06,-4.67866664137791e-06,-9.61065120293553e-06,-2.12426155375216e-08
F.sanfranciscensis,L.brevis,3,0.546968654693196,46931.3227521497,0.397182458134008,0.188091572166904,-2.22533393295503e-06,-4.94222719860594e-10,-9.74386504713494e-07,-6.86763727334702e-09
F.sanfranciscensis,L.plantarum,1,0.00021088638937343,145.374307751008,0.587406990203613,0.273014682054926,-1.51050166544115e-06,-9.59585173350907e-08,-2.01741309456117e-13,-1.38108620769511e-08
F.sanfranciscensis,L.plantarum,3,3.78640473269023,2760734.15836212,0.629920752039113,0.0236886470451442,-8.34291742625695e-06,-7.71905944811886e-08,-2.79501395241157e-07,-7.71193885943192e-11
F.sanfranciscensis,A.malorum,1,0.224782165733412,0.0013479541305505,0.422731420209996,0.760004101663616,-1.00568236539098e-07,-1.19214460971561e-08,-5.88580290513122e-08,-2.63332161230224e-08
F.sanfranciscensis,A.malorum,2,264.526668553434,68.0373531120205,0.320834548842835,1.62859018787254,-9.98178949339827e-08,-1.25091008441709e-08,-3.44541626771336e-09,-1.14206585443338e-07
F.sanfranciscensis,A.malorum,3,6.02815202596495,0.00891909787639252,0.286493300030839,0.710983518225735,-6.11465372430469e-08,-4.99364065609637e-09,-2.73887401053963e-09,-2.59018114991835e-08
F.sanfranciscensis,C.paralimentarius,1,605.565856456953,667.658746212914,0.221995694097834,0.229399334698528,-2.75200843418225e-09,-4.63426946212135e-08,-5.26048655205384e-10,-1.83328002611445e-08
F.sanfranciscensis,C.paralimentarius,2,113.204561372571,4518.39916447789,12.9801837885635,0.225298480062185,-3.47802224435595e-05,-6.12312459172411e-09,-3.05623786438886e-09,-1.96528169528332e-08
F.sanfranciscensis,C.paralimentarius,3,180.543402901648,264729.043721391,0.354132679779977,0.110549797822522,-1.02215764291313e-07,-5.75049124983755e-08,-7.95858561103405e-08,-8.85298037742464e-09
F.sanfranciscensis,S.cerevisiae,1,0.000520933414772516,10926.2345166146,0.944247388436481,0.216472534294733,-1.98281296913835e-05,-3.53388311324985e-14,-2.113195421842e-06,-1.59223689924368e-08
F.sanfranciscensis,S.cerevisiae,2,3457.30058182823,80698.6564333201,0.0913790127123253,0.135726671847059,-1.26956969518351e-06,-3.09734941107384e-11,-5.31835428697837e-09,-2.45039878399639e-08
F.sanfranciscensis,S.cerevisiae,3,4661.81962772915,514751.87974075,13662.5158226267,0.0588763685829936,-0.339069878546667,-2.49864915815438e-14,-1.39978980014286e-14,-6.39320724476797e-09
F.sanfranciscensis,W.anomalus,1,113.098236639655,56896.1777272853,0.261022787462566,0.204096194246741,-1.40719894449838e-06,-1.14823819824259e-08,-4.41652771642143e-07,-9.54475072532125e-09
F.sanfranciscensis,W.anomalus,2,182.599652094042,51746.8799475423,0.230423926419179,0.213649519317254,-1.14538516132311e-06,-8.90839671641078e-09,-1.3278963972109e-06,-6.16090415489082e-09
F.sanfranciscensis,W.anomalus,3,7.92548681738855,393855.67693404,0.346469491472848,0.130980320791848,-1.69400061727471e-06,-1.07289632023706e-08,-1.38010835485513e-08,-5.69073480931715e-09
F.sanfranciscensis,K.humilis,1,940.618365505125,398.71294795354,0.199752429446698,0.397696132889534,-6.15388358455353e-07,-7.59259906612529e-08,-2.33191278075442e-06,-9.39834009963525e-08
F.sanfranciscensis,K.humilis,2,663.903570984376,602.421933799435,0.195493218662514,0.356338991718704,-4.82438468596267e-07,-6.47826029945924e-08,-2.04377968675502e-06,-7.46359044025443e-08
